03:37:27.6329301	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 05-00-06-00-00-03-27-03-80
03:37:27.6496428	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 05-00-06-00-00-03-27-04-80
03:37:28.3330266	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 05-00-06-00-00-03-27-ED-03
03:37:28.3579311	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-06-00-00-03-00-E8-83
03:37:28.3579311	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-06-00-00-03-00-ED-03
03:37:28.4151502	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 05-00-06-00-00-03-27-ED-83
03:37:29.5074081	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 05-00-06-00-00-03-27-EE-03
03:37:29.5315604	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-06-00-00-03-00-ED-83
03:37:29.5315604	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-06-00-00-03-00-EE-03
03:37:29.5874223	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 05-00-06-00-00-03-27-EE-03
03:37:29.6097207	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 05-00-06-00-00-03-27-EE-83
03:37:30.6005503	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 05-00-06-00-00-03-27-ED-03
03:37:30.6234501	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-06-00-00-03-00-ED-03
03:37:30.6244739	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-06-00-00-03-00-EE-83
03:37:30.6806786	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 05-00-06-00-00-03-27-ED-83
03:37:31.6003400	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 05-00-06-00-00-03-27-01-01
03:37:31.6314435	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-06-00-00-03-00-01-01
03:37:31.6336979	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 05-00-06-00-00-03-27-01-01
